date,patient
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,3.7847700119018555
2020-03-17,3.783060073852539
2020-03-18,3.8358449935913086
2020-03-19,3.822885036468506
2020-03-20,3.766094923019409
2020-03-21,3.79795503616333
2020-03-22,26.376885175704956
2020-03-23,3.7982699871063232
2020-03-24,8.024468421936035
2020-03-25,12.087828874588013
2020-03-26,12.078560829162598
2020-03-27,49.271992683410645
2020-03-28,87.74447751045227
2020-03-29,12.085689306259155
2020-03-30,118.68015694618225
2020-03-31,121.64871709737017
2020-04-01,259.0147235393524
2020-04-02,311.4425666332245
2020-04-03,280.900115350307
2020-04-04,247.39347219467163
2020-04-05,167.01692196638112
2020-04-06,452.98191435873144
2020-04-07,160.89879664224736
2020-04-08,5.314345071068759
2020-04-09,12.139174359791092
2020-04-10,16.09745025388156
2020-04-11,19.509642201262643
2020-04-12,21.423593439104778
2020-04-13,23.662453139056606
2020-04-14,21.524513587245714
2020-04-15,22.37609639042359
2020-04-16,23.680181011086376
2020-04-17,24.292630320284466
2020-04-18,24.725307880504552
2020-04-19,29.35019444733839
2020-04-20,29.892800988454002
2020-04-21,26.02620386579936
2020-04-22,26.408239748087702
2020-04-23,26.15806226104563
2020-04-24,30.81128856879421
2020-04-25,26.612503509826364
2020-04-26,26.514006326534616
2020-04-27,27.163103772022577
2020-04-28,22.673784691216717
2020-04-29,22.930915538771295
2020-04-30,23.02156783305861
2020-05-01,18.92315543762751
2020-05-02,26.524687638442703
2020-05-03,27.228503696194913
2020-05-04,25.666865844882125
2020-05-05,25.655684323896004
2020-05-06,25.58090854871176
2020-05-07,25.560694158348817
2020-05-08,25.661746876850458
2020-05-09,25.484746187176942
2020-05-10,25.597789767895936
2020-05-11,25.58154699471767
2020-05-12,25.509353549792355
2020-05-13,25.561492129485174
2020-05-14,21.74319637846034
2020-05-15,25.42272696440501
2020-05-16,25.41341740017389
2020-05-17,25.326463252111296
2020-05-18,25.274602401732494
2020-05-19,25.314775507871403
2020-05-20,25.219993516795817
2020-05-21,25.283081689173876
2020-05-22,0.0
