date,shortage
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,1614.4458252544864
2020-03-28,3833.595735693905
2020-03-29,6358.304996235846
2020-03-30,9651.069814259132
2020-03-31,13153.097864395279
2020-04-01,16826.79388419561
2020-04-02,20591.005906812985
2020-04-03,24382.36735508928
2020-04-04,28101.57051045585
2020-04-05,31671.506826935765
2020-04-06,35298.500869552256
2020-04-07,38688.164990593075
2020-04-08,41741.6921063508
2020-04-09,44452.21467891597
2020-04-10,46772.151182984424
2020-04-11,48709.348089675645
2020-04-12,50377.70435046502
2020-04-13,51785.68523361083
2020-04-14,52841.39170396967
2020-04-15,53544.942089989105
2020-04-16,53968.08458830986
2020-04-17,54105.05078172272
2020-04-18,54118.343979538164
2020-04-19,54035.380335208974
2020-04-20,53708.33570904902
2020-04-21,53373.74559316332
2020-04-22,52934.32513331278
2020-04-23,52328.70016172121
2020-04-24,51560.21828467855
2020-04-25,50659.88588121874
2020-04-26,49606.88499345172
2020-04-27,48456.77295484392
2020-04-28,47221.864406042834
2020-04-29,45865.78506236647
2020-04-30,44428.894662342645
2020-05-01,42943.10013754807
2020-05-02,41384.550944616676
2020-05-03,39791.11185672905
2020-05-04,38181.091048758964
2020-05-05,36539.49658136962
2020-05-06,34874.50029995434
2020-05-07,33192.45837991437
2020-05-08,31512.067925418214
2020-05-09,29836.417912833167
2020-05-10,28137.548823808316
2020-05-11,26474.866963857814
2020-05-12,24815.2774030401
2020-05-13,23153.800838878116
2020-05-14,21530.423986483398
2020-05-15,19933.55400984628
2020-05-16,18456.53383597099
2020-05-17,17054.851502545058
2020-05-18,15672.770385984726
2020-05-19,14306.52005593824
2020-05-20,13001.251964657142
2020-05-21,11738.238199635385
2020-05-22,10676.824266480045
