date,shortage
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.031080818176278058
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,94.53862482706705
2020-04-08,789.808119964592
2020-04-09,807.4185577392503
2020-04-10,3120.7868014017727
2020-04-11,2493.282957779464
2020-04-12,4508.210189289591
2020-04-13,13009.15164515177
2020-04-14,13317.735125608344
2020-04-15,13092.498166910802
2020-04-16,13897.854572041824
2020-04-17,12941.454051208491
2020-04-18,13614.766009982528
2020-04-19,12597.059826151522
2020-04-20,13133.955874125155
2020-04-21,12088.298061625159
2020-04-22,12510.334693908686
2020-04-23,11622.960279846182
2020-04-24,11764.176400248201
2020-04-25,10879.24499848683
2020-04-26,10939.470298201551
2020-04-27,3596.1611633300727
2020-04-28,2968.569097527358
2020-04-29,2662.402858988439
2020-04-30,2317.5735612609906
2020-05-01,2001.5072021484314
2020-05-02,1677.8209170058315
2020-05-03,1492.2747290293319
2020-05-04,1871.695735999531
2020-05-05,1583.0631602334554
2020-05-06,999.8535817136974
2020-05-07,992.9787019452784
2020-05-08,876.8449640760994
2020-05-09,876.8449640760994
2020-05-10,466.80188105480704
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
