variable,mean,min,median,max,nmissing,eltype
CT,2196.1806470784773,0.0,2341.637032098155,5316.492375172596,0,Float64
DE,95.11624130186703,0.0,24.5556666469744,297.15358823308065,0,Float64
MA,1564.453916441531,0.0,1383.6514779633374,4067.146544185146,0,Float64
MD,1708.3159872090741,0.0,1361.4530816083873,3832.391515517911,0,Float64
ME,3.126388037344441e-14,0.0,0.0,3.410605131648481e-13,0,Float64
NH,6.822749880170218,0.0,0.0,44.33000580358521,0,Float64
NJ,1383.9159977112784,0.0,779.2160137128776,6897.897776434882,0,Float64
NY,12130.757654537663,0.0,5237.577873871212,37532.48449571698,0,Float64
PA,2213.4671315859987,0.0,1488.9136632043096,5510.308763825133,0,Float64
RI,278.5729782651241,0.0,177.87623851575492,725.492390121587,0,Float64
VT,2.2737367544323207e-14,0.0,0.0,2.2737367544323206e-13,0,Float64
