date,shortage
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,4.973799150320701e-14
2020-03-28,2.904035041550003
2020-03-29,31.827006012209722
2020-03-30,156.11948529192605
2020-03-31,252.30244862457766
2020-04-01,1389.4710217426766
2020-04-02,4667.871375441537
2020-04-03,9319.045706858533
2020-04-04,13970.84400775595
2020-04-05,18544.351787158404
2020-04-06,22988.8906920602
2020-04-07,27227.20698845749
2020-04-08,31177.84154140818
2020-04-09,34816.69831054606
2020-04-10,38089.85958211017
2020-04-11,41013.990932373075
2020-04-12,43542.52690484788
2020-04-13,45674.734047077196
2020-04-14,47456.36884908997
2020-04-15,48874.58489114599
2020-04-16,49970.051945021754
2020-04-17,50754.0572584335
2020-04-18,51231.60547086126
2020-04-19,51487.062407125624
2020-04-20,51493.83644416741
2020-04-21,51299.995898832334
2020-04-22,50878.087774798645
2020-04-23,50295.486101536226
2020-04-24,49539.63116512778
2020-04-25,48665.838573631314
2020-04-26,47630.45515968943
2020-04-27,46502.15274848657
2020-04-28,45295.231745571546
2020-04-29,43965.1498349915
2020-04-30,42551.708826300965
2020-05-01,41088.22271111535
2020-05-02,39542.749600307674
2020-05-03,37952.906609464255
2020-05-04,37460.39975638688
2020-05-05,34735.57341131658
2020-05-06,34112.17854214262
2020-05-07,31409.23226411377
2020-05-08,30691.587601686115
2020-05-09,28076.295626982566
2020-05-10,26378.529077475603
2020-05-11,24724.651126793535
2020-05-12,23847.41252035471
2020-05-13,21410.912746875445
2020-05-14,20517.024876561303
2020-05-15,18195.61341028657
2020-05-16,17255.146304395006
2020-05-17,15063.897071273868
2020-05-18,14127.528986147046
2020-05-19,12023.832212456291
2020-05-20,11285.599749761153
2020-05-21,9129.17483107657
2020-05-22,8769.666919174193
